ORGANISM,BIRTH,DEATH,GENDER,HEADSTONE
human,1905,1973,male,small
human,1913,1970,female,small
human,1941,1960,male,small
human,1887,1979,male,small
human,1897,1982,female,small
human,1951,1975,male,small
human,1918,2005,male,small
human,1900,1999,female,small
human,1892,1952,male,small
human,1924,1952,male,small
human,1881,1935,male,large
human,1851,1920,male,large
human,1857,1936,female,large
human,1877,1945,male,large
human,1888,1958,male,large
human,1887,1968,female,large
human,1914,1943,male,large
human,1958,1991,male,large
human,1916,2005,female,large
human,1898,1921,male,small
human,1867,1930,male,small
human,1867,1939,female,small
human,1848,1926,female,small
human,1907,1940,male,small
human,1881,1921,female,small
human,1943,2008,female,large
human,1886,1933,female,small
human,1913,1921,male,small
human,1915,1921,male,small
human,1902,1969,female,large
human,1907,1989,female,large
human,1915,1968,male,large
human,1909,1981,female,large
human,1863,1933,male,large
human,1870,1961,female,large
human,1930,2000,male,small
human,1867,1934,female,small
human,1872,1934,female,small
human,1881,1941,male,small
human,1886,1950,female,small
human,1922,2003,male,large
human,1923,1977,female,large
human,1884,1951,male,small
human,1921,2016,male,large
human,1921,2010,female,large
human,1855,1939,female,large
human,1937,2011,male,large
human,1940,2003,female,large
human,1957,2011,male,large
human,1935,2011,female,large
human,1939,1991,male,large
human,1930,2007,male,large
human,1933,1966,female,large
human,1896,1971,male,large
human,1897,1983,female,large
human,1868,1962,female,large
human,1869,1977,male,large
human,1892,1963,female,large
human,1884,1967,male,large
human,1857,1919,male,small
human,1868,1951,female,small
human,1848,1943,male,small
human,1851,1924,female,small
human,1874,1968,female,small
human,1879,1973,female,small
human,1819,1931,male,small
human,1903,1972,male,small
human,1868,1887,male,small
human,1870,1952,female,small
human,1929,2005,male,large
human,1909,2006,male,small
human,1911,1986,female,small
human,1869,1936,male,small
human,1876,1950,female,small
human,1902,1938,female,small
human,1901,1976,female,small
human,1867,1954,male,small
human,1908,1916,male,small
human,1902,1973,female,small
human,1865,1933,male,small
human,1899,1921,male,small
human,1907,1984,female,large
human,1906,1972,male,large
human,1865,1952,male,small
human,1830,1896,male,small
human,1863,1894,male,small
human,1868,1948,female,small
human,1929,1994,male,large
human,1875,1953,male,large
human,1879,1954,female,large
human,1870,1960,male,large
human,1870,1899,female,large
human,1826,1901,male,large
human,1909,1946,male,large
human,1910,2007,female,large
human,1913,1976,male,large
human,1850,1894,female,large
human,1890,1975,female,large
human,1878,1960,male,large
human,1906,1999,female,small
human,1875,1942,male,small
human,1852,1927,female,small
human,1860,1937,male,large
human,1855,1900,female,large
human,2000,2012,female,large
human,1956,1989,female,large
human,1914,2002,male,large
human,1917,1992,female,large
human,1870,1954,female,small
human,1834,1900,female,large
human,1946,1997,female,large
human,1917,1998,female,large
human,1920,2012,male,large
human,1854,1931,male,small
human,1861,1937,male,small
human,1895,1896,male,small
human,1884,1884,female,small
human,1846,1937,male,small
human,1847,1930,male,small
human,1832,1898,female,small
human,1900,2001,female,large
human,1910,1991,male,small
human,1904,1993,female,large
human,1939,1984,male,large
human,1947,1979,female,small
human,1926,2000,male,large
human,1929,2001,female,large
human,1927,1999,female,small
human,1904,1981,male,small
human,1906,1998,female,small
human,1888,1908,male,large
human,1844,1927,female,large
human,1911,2010,male,large
human,1915,2000,female,large
human,1895,1957,male,small
human,1895,1960,female,small
human,1880,1937,male,small
