,,Committed,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2001,1,271.27,272.95,272.36,273.36
2002,1,272.32,272.63,273.14,273.63
2003,1,268.86,272.88,269.61,273.15
2004,1,272.51,275.82,272.90,271.87
2005,1,272.21,270.04,272.93,272.04
2006,1,270.38,272.18,271.27,274.07
2007,1,270.81,270.72,271.99,272.88
2008,1,273.05,272.66,272.54,272.55
2009,1,274.66,272.82,272.97,272.94
2010,1,271.02,273.22,275.07,270.30
2011,1,273.23,272.86,272.65,274.09
2012,1,271.59,273.11,273.88,273.95
2013,1,272.65,270.69,271.89,272.68
2014,1,272.75,271.80,270.68,274.14
2015,1,273.30,273.41,273.39,267.42
2016,1,274.82,272.96,272.18,274.02
2017,1,274.42,275.94,269.40,276.53
2018,1,273.61,271.72,272.45,272.54
2019,1,273.11,272.87,276.75,274.49
2020,1,271.52,273.42,272.64,272.40
2021,1,273.92,272.72,273.49,269.11
2022,1,268.78,273.59,271.74,274.78
2023,1,272.44,272.69,271.76,273.05
2024,1,273.67,272.00,270.33,270.89
2025,1,271.88,273.68,272.91,272.88
2026,1,273.65,274.26,270.56,275.82
2027,1,273.64,273.85,270.44,274.68
2028,1,267.65,269.88,274.66,273.74
2029,1,272.68,272.69,272.60,273.13
2030,1,270.60,273.13,273.62,273.84
2031,1,273.80,276.28,270.80,270.39
2032,1,271.41,274.66,272.80,271.71
2033,1,273.39,274.24,275.06,274.67
2034,1,270.51,273.67,272.76,273.32
2035,1,273.75,273.31,274.57,272.52
2036,1,274.93,274.59,271.64,272.86
2037,1,272.99,270.45,275.28,272.80
2038,1,273.54,273.54,273.12,275.14
2039,1,271.89,268.37,271.24,272.55
2040,1,270.73,272.18,273.72,275.91
2041,1,274.22,271.87,276.34,273.68
2042,1,273.52,272.65,275.99,271.91
2043,1,273.98,275.85,272.51,272.19
2044,1,274.43,272.77,272.23,273.27
2045,1,271.96,273.05,272.59,273.13
2046,1,274.27,275.93,274.27,271.04
2047,1,274.37,275.22,274.15,272.42
2048,1,271.65,273.46,272.98,270.32
2049,1,273.65,273.79,273.23,272.72
2050,1,273.08,274.98,273.63,274.52
2051,1,274.86,269.34,275.37,274.57
2052,1,274.76,269.88,272.71,274.33
2053,1,269.39,275.63,272.03,271.19
2054,1,273.08,271.60,271.61,271.10
2055,1,275.03,272.65,270.00,272.25
2056,1,271.95,275.62,271.78,273.38
2057,1,272.70,274.15,273.24,274.94
2058,1,273.26,275.26,273.91,274.17
2059,1,270.59,273.08,275.97,269.48
