BOD_NO,ORGANISM,TREATMENT,TIME_INITIAL,DO_INITIAL,TIME_FINAL,DO_FINAL,WEIGHT
25,algae,light,9/16/2018 14:37,4.26,9/16/2018 16:15,7.1,1
41,algae,light,9/16/2018 14:37,4.26,9/16/2018 16:17,6.38,1
29,algae,light,9/16/2018 14:37,4.26,9/16/2018 16:11,8.3,1
81,algae,light,9/16/2018 14:37,4.26,9/16/2018 16:14,6.98,1
34,algae,dark,9/16/2018 14:37,4.26,9/16/2018 16:36,3.92,1
85,algae,dark,9/16/2018 14:37,4.26,9/16/2018 16:33,4.01,1
36,algae,dark,9/16/2018 14:37,4.26,9/16/2018 16:35,4.1,1
1,algae,dark,9/16/2018 14:37,4.26,9/16/2018 16:32,3.77,1
17,macrophyte,light,9/16/2018 14:37,4.26,9/16/2018 16:07,7.06,1
39,macrophyte,light,9/16/2018 14:37,4.26,9/16/2018 16:06,7.09,1
37,macrophyte,light,9/16/2018 14:37,4.26,9/16/2018 16:08,7.07,1
29,macrophyte,light,9/16/2018 14:37,4.26,9/16/2018 16:09,6.92,1
32,macrophyte,dark,9/16/2018 14:37,4.26,9/16/2018 16:20,3.45,1
93,macrophyte,dark,9/16/2018 14:37,4.26,9/16/2018 16:28,3.81,1
34,macrophyte,dark,9/16/2018 14:37,4.26,9/16/2018 16:23,3.98,1
72,macrophyte,dark,9/16/2018 14:37,4.26,9/16/2018 16:25,3.76,1
