BOD_NO,ORGANISM,TREATMENT,TIME_INITIAL,DO_INITIAL,TIME_FINAL,DO_FINAL,WEIGHT
26,algae,light,9/17/2018 14:37,3.89,9/17/2018 15:51,10.9,0.4052
36,algae,light,9/17/2018 14:37,3.89,9/17/2018 15:53,8.55,0.4062
81,algae,light,9/17/2018 14:37,3.89,9/17/2018 15:48,8.12,0.3425
6,algae,light,9/17/2018 14:37,3.89,9/17/2018 15:54,9.41,0.3804
29,algae,dark,9/17/2018 14:37,3.89,9/17/2018 16:16,2.99,0.2878
85,algae,dark,9/17/2018 14:37,3.89,9/17/2018 16:18,2.8,0.548
29,algae,dark,9/17/2018 14:37,3.89,9/17/2018 16:20,2.4,0.8995
32,macrophyte,light,9/17/2018 14:37,3.89,9/17/2018 16:00,5.03,0.1208
74,macrophyte,light,9/17/2018 14:37,3.89,9/17/2018 15:54,5.06,0.1255
39,macrophyte,light,9/17/2018 14:37,3.89,9/17/2018 15:55,4.8,0.0985
17,macrophyte,light,9/17/2018 14:37,3.89,9/17/2018 15:58,4.59,0.1174
37,macrophyte,dark,9/17/2018 14:37,3.89,9/17/2018 16:06,3.46,0.2335
93,macrophyte,dark,9/17/2018 14:37,3.89,9/17/2018 16:13,3.12,0.1978
72,macrophyte,dark,9/17/2018 14:37,3.89,9/17/2018 16:11,3.8,0.1355
