,,Committed ,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2001,1,287.22,287.53,287.45,287.98
2002,1,287.16,290.75,287.71,288.49
2003,1,286.28,289.63,287.36,289.11
2004,1,288.14,289.17,290.76,290.09
2005,1,287.10,288.89,289.46,290.56
2006,1,289.38,288.63,290.24,286.90
2007,1,289.53,285.79,286.80,288.92
2008,1,288.32,289.11,291.68,287.21
2009,1,290.49,287.54,288.76,288.92
2010,1,289.95,289.32,287.72,289.73
2011,1,290.19,288.84,289.50,288.54
2012,1,289.78,290.20,288.73,287.47
2013,1,287.06,288.98,288.11,287.95
2014,1,287.77,288.66,289.67,289.76
2015,1,289.40,289.41,287.79,287.31
2016,1,290.55,289.30,288.98,288.72
2017,1,289.92,288.47,289.28,289.94
2018,1,288.76,287.10,288.61,291.01
2019,1,288.30,290.03,288.13,288.51
2020,1,289.10,291.02,287.44,290.13
2021,1,289.23,288.83,287.47,288.91
2022,1,289.84,288.45,288.56,289.58
2023,1,289.25,290.11,288.60,289.65
2024,1,289.25,289.98,289.54,287.39
2025,1,288.93,288.37,288.50,289.24
2026,1,287.46,288.70,288.95,289.87
2027,1,287.57,288.04,289.22,287.72
2028,1,287.60,289.39,287.53,288.77
2029,1,287.91,289.34,289.87,288.66
2030,1,289.19,288.94,288.11,288.25
2031,1,288.69,287.12,288.11,289.23
2032,1,288.41,286.69,290.33,288.30
2033,1,288.66,286.80,289.53,289.15
2034,1,286.76,289.39,289.84,288.35
2035,1,287.90,289.25,288.41,290.57
2036,1,288.51,288.73,291.69,290.15
2037,1,287.98,290.96,289.78,286.73
2038,1,289.11,289.31,289.05,289.57
2039,1,287.00,288.05,287.86,289.65
2040,1,287.56,289.35,291.23,288.83
2041,1,287.84,291.32,288.37,290.47
2042,1,289.23,290.72,288.12,289.71
2043,1,288.67,288.89,289.20,289.12
2044,1,287.05,289.07,288.39,289.63
2045,1,288.56,289.44,290.01,288.50
2046,1,287.09,289.66,290.34,291.09
2047,1,287.61,290.29,289.01,291.10
2048,1,288.26,289.50,288.98,288.58
2049,1,288.30,288.69,290.70,288.38
2050,1,287.57,289.74,290.69,289.83
2051,1,288.91,290.58,289.62,290.22
2052,1,289.53,289.48,289.50,288.39
2053,1,288.39,288.40,290.87,291.38
2054,1,289.50,291.74,291.19,289.66
2055,1,288.15,288.77,288.91,291.04
2056,1,287.82,289.65,290.06,289.27
2057,1,287.45,289.07,290.04,290.89
2058,1,289.34,288.74,290.66,289.11
2059,1,290.83,289.86,288.31,290.27
2060,1,287.20,290.37,289.24,288.88
2061,1,289.05,290.63,290.36,287.84
2062,1,288.49,290.07,289.41,289.37
2063,1,288.07,289.12,289.86,288.07
2064,1,289.61,290.14,288.16,287.97
2065,1,288.63,290.21,287.79,288.49
2066,1,288.10,288.47,290.15,290.13
2067,1,288.67,290.66,292.47,290.61
2068,1,288.33,289.20,288.85,288.92
2069,1,286.48,291.88,290.34,289.34
2070,1,286.65,289.54,289.50,288.41
2071,1,288.61,290.97,292.12,289.98
2072,1,290.17,291.01,290.17,289.09
2073,1,288.68,292.13,291.55,289.21
2074,1,289.78,291.52,291.15,289.37
2075,1,288.50,288.90,291.18,289.93
2076,1,288.22,291.27,289.56,291.00
2077,1,290.62,290.45,291.69,288.36
2078,1,289.18,290.39,289.73,289.88
2079,1,289.89,290.29,291.33,288.52
2080,1,288.76,289.92,292.34,288.70
2081,1,287.65,291.52,289.01,289.56
2082,1,286.69,292.18,292.93,292.06
2083,1,289.09,289.37,291.61,291.28
2084,1,290.42,288.35,292.24,288.09
2085,1,287.87,291.70,292.06,288.94
2086,1,286.21,292.04,294.49,289.67
2087,1,286.79,288.83,291.95,292.17
2088,1,288.66,291.85,290.58,289.05
2089,1,287.95,290.33,292.33,290.07
2090,1,291.34,290.42,291.15,289.18
2091,1,286.68,292.46,293.28,288.85
2092,1,287.06,291.29,290.88,290.48
2093,1,289.27,289.70,290.45,290.36
2094,1,288.22,290.55,292.74,291.11
2095,1,288.73,290.05,291.41,292.01
2096,1,290.49,288.97,291.15,289.14
2097,1,288.66,290.01,293.12,291.64
2098,1,290.18,290.98,291.21,289.78
2099,1,289.74,289.57,291.72,290.49
2100,1,287.78,290.05,291.06,289.71
2001,2,289.52,288.52,288.38,289.71
2002,2,290.65,292.19,287.90,289.37
2003,2,287.05,292.08,288.14,287.36
2004,2,289.47,292.57,290.72,290.60
2005,2,290.44,288.78,291.51,291.80
2006,2,291.10,290.09,289.12,290.12
2007,2,286.83,287.81,287.73,287.78
2008,2,292.65,290.62,293.38,292.30
2009,2,292.91,288.40,289.75,288.86
2010,2,290.61,291.71,289.06,292.68
2011,2,289.05,291.05,290.86,289.08
2012,2,291.54,291.40,290.01,290.45
2013,2,288.43,292.12,290.40,288.67
2014,2,289.51,291.12,290.36,291.71
2015,2,292.22,289.85,289.14,289.64
2016,2,291.88,290.91,292.29,288.61
2017,2,290.45,291.34,293.28,292.77
2018,2,291.25,287.27,291.11,291.41
2019,2,289.89,291.98,290.15,291.38
2020,2,287.18,286.42,289.78,291.07
2021,2,290.23,289.73,290.07,292.63
2022,2,290.75,289.62,291.96,291.70
2023,2,291.26,291.80,289.23,291.33
2024,2,293.57,290.64,289.69,289.42
2025,2,291.53,289.78,290.80,291.85
2026,2,289.05,291.47,289.83,291.83
2027,2,290.41,290.25,290.54,291.19
2028,2,291.01,290.06,290.16,290.34
2029,2,289.13,292.35,291.35,290.35
2030,2,292.09,289.35,290.56,289.10
2031,2,287.99,288.97,289.77,293.13
2032,2,291.97,289.43,293.34,292.13
2033,2,291.06,289.99,290.04,292.95
2034,2,290.48,289.93,290.58,290.38
2035,2,288.13,290.43,291.04,290.70
2036,2,290.40,291.43,293.52,291.70
2037,2,288.34,293.47,289.97,291.96
2038,2,290.12,291.37,288.00,291.27
2039,2,287.54,289.01,289.12,292.68
2040,2,287.87,291.95,292.98,289.31
2041,2,289.35,291.59,291.87,292.49
2042,2,291.37,290.30,288.41,291.46
2043,2,288.21,292.26,291.42,291.79
2044,2,288.63,291.68,290.12,292.79
2045,2,291.48,292.74,289.82,288.78
2046,2,289.41,293.27,291.91,292.79
2047,2,289.37,289.70,291.97,291.11
2048,2,288.85,289.57,291.01,288.59
2049,2,287.95,291.23,292.53,289.82
2050,2,290.69,291.02,293.01,289.45
2051,2,290.20,291.30,291.60,291.82
