,,Committed,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2001,1,248.42,251.63,254.39,246.16
2002,1,249.66,251.14,252.67,250.87
2003,1,250.26,250.70,251.71,251.60
2004,1,257.88,252.25,245.90,251.56
2005,1,253.86,256.11,254.11,244.49
2006,1,252.83,253.15,250.10,256.57
2007,1,239.71,258.26,254.94,261.33
2008,1,257.76,253.10,253.49,254.55
2009,1,245.64,254.87,252.78,251.27
2010,1,253.31,249.61,260.55,246.07
2011,1,254.20,253.11,249.59,250.99
2012,1,253.91,254.60,255.12,258.52
2013,1,254.06,257.31,253.73,247.42
2014,1,256.64,253.52,253.10,253.99
2015,1,250.15,250.77,264.04,256.59
2016,1,254.98,252.27,252.68,259.62
2017,1,247.63,254.32,254.70,250.34
2018,1,260.89,259.48,251.97,253.12
2019,1,250.94,246.03,249.45,252.48
2020,1,250.78,250.84,253.45,248.91
2021,1,249.60,257.86,258.40,246.63
2022,1,246.12,260.92,250.71,254.08
2023,1,250.73,256.29,260.62,255.83
2024,1,251.66,251.83,261.45,251.45
2025,1,250.57,254.95,253.89,253.97
2026,1,250.67,255.81,257.20,251.06
2027,1,257.49,252.61,255.87,259.62
2028,1,255.61,252.81,260.93,250.96
2029,1,257.98,252.94,254.48,253.54
2030,1,251.75,249.89,254.07,257.38
2031,1,254.42,253.43,251.32,261.17
2032,1,251.13,264.31,250.85,251.73
2033,1,251.74,259.08,252.37,249.46
2034,1,250.32,254.95,246.87,252.68
2035,1,254.28,258.84,258.78,247.54
2036,1,249.89,260.72,258.57,254.73
2037,1,252.53,255.86,259.38,260.41
2038,1,251.10,253.83,256.42,251.86
2039,1,261.85,258.04,260.47,257.72
2040,1,255.98,249.79,250.80,264.53
2041,1,256.78,248.07,259.87,257.84
2042,1,250.39,254.71,255.01,253.60
2043,1,252.13,258.37,260.61,256.30
2044,1,253.15,252.27,260.10,254.61
2045,1,251.26,258.72,254.02,257.77
2046,1,257.01,256.44,262.52,254.81
2047,1,251.94,255.98,260.24,255.88
2048,1,253.52,256.53,256.80,255.99
2049,1,250.16,250.27,252.18,254.53
2050,1,258.27,253.13,254.91,252.70
2051,1,246.58,251.44,261.60,246.75
2052,1,258.47,256.70,254.12,262.23
2053,1,257.01,255.38,255.03,255.64
2054,1,255.40,253.28,255.55,252.64
2055,1,255.73,258.97,252.23,252.62
2056,1,259.82,251.41,261.08,260.23
2057,1,251.43,260.22,253.32,256.74
2058,1,259.09,259.90,257.77,256.44
2059,1,257.24,255.48,259.13,258.30
2060,1,257.10,255.56,263.06,259.16
2061,1,249.58,255.04,261.80,256.53
2062,1,250.30,263.58,258.43,254.86
2063,1,256.88,257.91,257.61,256.64
2064,1,256.43,255.27,263.16,251.01
2065,1,252.15,252.50,257.35,262.11
2066,1,252.84,258.94,253.70,256.81
2067,1,254.14,253.63,254.01,255.62
2068,1,256.32,263.55,261.74,260.35
2069,1,252.85,257.82,259.94,252.66
2070,1,261.29,267.15,264.57,260.75
2071,1,257.74,256.37,260.63,248.43
2072,1,248.02,253.16,255.74,251.07
2073,1,252.61,251.79,254.47,255.93
2074,1,255.11,259.60,259.82,256.15
2075,1,243.16,260.94,257.64,259.85
2076,1,255.38,257.91,256.38,260.32
2077,1,251.06,258.77,259.88,263.59
2078,1,253.69,260.14,260.90,257.27
2079,1,256.31,259.33,261.51,258.65
2080,1,252.09,256.69,259.81,253.28
2081,1,250.29,259.01,261.65,258.93
2082,1,252.42,259.44,263.28,254.53
2083,1,256.43,262.17,264.43,262.57
2084,1,244.78,261.62,253.57,262.67
2085,1,255.28,253.47,258.64,262.78
2086,1,253.19,261.10,253.94,258.72
2087,1,254.30,264.45,264.52,250.87
2088,1,255.05,253.82,256.83,253.38
2089,1,258.52,261.31,260.85,254.52
2090,1,240.24,255.72,261.28,255.11
2091,1,258.08,266.63,262.27,256.95
2092,1,257.44,268.30,260.25,253.38
2093,1,255.54,259.40,259.23,258.18
2094,1,254.06,255.76,262.78,252.57
2095,1,255.25,256.53,259.78,254.27
2096,1,253.93,261.99,257.13,257.85
2097,1,249.50,265.23,261.17,261.50
2098,1,246.61,263.46,264.18,257.66
2099,1,257.91,263.72,265.26,256.01
2100,1,257.68,258.51,267.22,259.06
2001,2,251.59,255.90,255.88,250.46
2002,2,247.71,252.38,261.75,262.31
2003,2,254.22,252.36,256.53,251.40
2004,2,253.67,250.89,252.77,248.59
2005,2,259.46,251.58,251.35,244.55
2006,2,253.78,247.15,265.45,252.95
2007,2,258.48,258.91,262.66,258.74
2008,2,256.17,250.12,258.44,255.20
2009,2,245.64,256.57,261.29,248.24
2010,2,253.81,249.82,251.51,248.84
2011,2,257.14,257.04,255.55,254.76
2012,2,255.41,245.14,255.24,258.26
2013,2,257.90,259.88,247.39,264.93
2014,2,254.39,255.12,262.90,252.87
2015,2,258.30,261.60,255.25,260.46
2016,2,250.11,252.75,261.04,264.96
2017,2,263.12,256.51,251.86,252.26
2018,2,252.30,260.46,256.49,253.36
2019,2,251.97,250.66,247.71,253.00
2020,2,254.39,258.12,262.77,259.22
2021,2,255.21,250.20,255.89,252.83
2022,2,267.73,257.51,248.78,254.96
2023,2,251.59,253.32,258.49,253.52
2024,2,247.24,254.47,259.79,251.94
2025,2,257.06,256.15,260.31,245.02
2026,2,259.36,246.81,263.96,259.22
2027,2,256.76,258.82,260.34,249.83
2028,2,254.72,260.81,251.35,260.66
2029,2,251.62,252.98,253.69,256.48
2030,2,255.77,251.60,252.76,266.15
2031,2,255.43,260.54,256.78,260.15
2032,2,252.26,254.85,251.71,251.82
2033,2,252.14,252.36,256.49,254.81
2034,2,256.17,259.50,255.68,262.35
2035,2,256.44,253.10,258.13,253.29
2036,2,252.08,255.18,244.38,262.04
2037,2,252.46,258.50,265.86,254.69
2038,2,254.71,255.60,260.31,261.67
2039,2,259.04,258.02,260.15,260.61
2040,2,258.73,257.55,252.95,259.56
2041,2,259.37,251.82,254.42,259.60
2042,2,250.69,253.13,259.86,258.31
2043,2,261.54,254.36,259.31,249.62
2044,2,256.54,254.92,253.06,252.27
