DATE,TIME,HOUR,MIN,ORGANISM,TREATMENT,REP,RFU
20181116,17:29,17,29,MA,H,4,0.007
20181116,17:30,17,30,MA,H,3,0.006
20181116,17:31,17,31,MA,H,2,0.007
20181116,17:32,17,32,MA,H,1,0.011
20181116,17:33,17,33,MA,L,6,0.009
20181116,17:35,17,35,MA,L,5,0.007
20181116,17:35,17,35,MA,L,4,0.006
20181116,17:36,17,36,MA,L,3,0.08
20181116,17:37,17,37,MA,L,2,0.007
20181116,17:38,17,38,MA,L,1,0.007
20181116,17:39,17,39,C,H,6,1.55
20181116,17:40,17,40,C,H,5,1.56
20181116,17:40,17,40,C,H,4,1.83
20181116,17:41,17,41,C,H,3,1.87
20181116,17:42,17,42,C,H,2,1.68
20181116,17:43,17,43,C,H,1,1.68
20181116,17:45,17,45,C,L,6,2.42
20181116,17:47,17,47,C,L,5,2.36
20181116,17:47,17,47,C,L,4,2.32
20181116,17:48,17,48,C,L,3,2.21
20181116,17:49,17,49,C,L,2,2.29
20181116,17:50,17,50,C,L,1,2.3
20181116,17:51,17,51,SA,L,1,0.701
20181116,17:52,17,52,SA,L,2,0.914
20181116,17:53,17,53,SA,L,5,1.09
20181116,17:54,17,54,SA,H,1,0.865
20181116,17:55,17,55,SA,H,2,1.16
20181116,17:57,17,57,SA,L,4,0.878
20181116,17:58,17,58,SL,L,6,0.044
20181116,17:59,17,59,SL,H,4,0.05
20181116,18:00,18,00,SL,H,2,0.034
20181116,18:01,18,01,SL,L,3,0.6
20181116,18:02,18,02,SL,H,5,0.042
20181116,18:03,18,03,SA,H,6,1.1
20181116,18:04,18,04,SL,H,6,0.051
20181116,18:06,18,06,SL,L,5,0.028
20181116,18:06,18,06,SL,L,4,0.035
20181116,18:07,18,07,SL,H,3,0.046
20181116,18:07,18,07,SL,H,2,1.03
20181116,18:08,18,08,SA,H,5,0.052
20181116,18:11,18,11,SL,L,1,0.047
20181116,18:09,18,09,SL,H,1,0.052
20181116,18:10,18,10,SA,H,3,0.871
20181116,18:11,18,11,SA,L,6,0.798
20181116,18:12,18,12,SA,H,4,1.21
20181116,18:13,18,13,SL,L,2,0.049
20181116,18:14,18,14,SA,L,3,0.681
20181116,12:02,12,02,MA,H,4,0.005
20181116,12:04,12,04,MA,H,3,0.008
20181116,12:05,12,05,MA,H,2,0.007
20181116,12:06,12,06,MA,H,1,0.019
20181116,12:07,12,07,MA,L,6,0.011
20181116,12:08,12,08,MA,L,5,0.007
20181116,12:09,12,09,MA,L,4,0.008
20181116,12:10,12,10,MA,L,3,0.009
20181116,12:11,12,11,MA,L,2,0.008
20181116,12:12,12,12,MA,L,1,0.008
20181116,12:13,12,13,C,H,6,1.43
20181116,12:14,12,14,C,H,5,1.26
20181116,12:15,12,15,C,H,4,1.55
20181116,12:16,12,16,C,H,3,1.7
20181116,12:17,12,17,C,H,2,1.5
20181116,12:18,12,18,C,H,1,1.49
20181116,12:19,12,19,C,L,6,1.94
20181116,12:20,12,20,C,L,5,1.67
20181116,12:21,12,21,C,L,4,1.85
20181116,12:22,12,22,C,L,3,1.75
20181116,12:22,12,22,C,L,2,1.78
20181116,12:22,12,22,C,L,1,1.7
20181116,12:23,12,23,SA,H,6,0.449
20181116,12:24,12,24,SL,H,5,0.032
20181116,12:24,12,24,SL,L,3,0.043
20181116,12:25,12,25,SL,H,2,0.028
20181116,12:26,12,26,SL,H,4,0.036
20181116,12:27,12,27,SL,L,6,0.034
20181116,12:29,12,29,SA,L,4,0.036
20181116,12:30,12,30,SA,H,1,0.54
20181116,12:31,12,31,SA,L,5,0.548
20181116,12:32,12,32,SA,L,2,0.584
20181116,12:33,12,33,SA,L,1,0.45
20181116,12:34,12,34,SA,L,3,0.399
20181116,12:35,12,35,SL,L,2,0.038
20181116,12:36,12,36,SA,H,4,0.329
20181116,12:37,12,37,SA,L,6,0.273
20181116,12:38,12,38,SL,L,1,0.038
20181116,12:39,12,39,SA,H,3,0.771
20181116,12:40,12,40,SL,H,1,0.041
20181116,12:40,12,40,SA,H,5,0.747
20181116,12:41,12,41,SL,H,3,0.038
20181116,12:41,12,41,SL,L,4,0.032
