site,habitat,replicate,taxa,class,order,family,genus,code,count
hog,riffle,1,Berosus,Insecta,Coleoptera,Hydrophilidae,Berosus,BEROSU,16
hog,riffle,1,Chironomidae,Insecta,Diptera,Chironomidae,,CHIRON,42
hog,riffle,1,Choroterpes,Insecta,Ephemeroptera,Leptophlebiidae,Choroterpes,CHOROT,3
hog,riffle,2,Chironomidae,Insecta,Diptera,Chironomidae,,CHIRON,23
hog,riffle,2,Argia,Insecta,Odonata,Coenagrionidae,Argia,ARGIA,5
hog,riffle,2,Gomphus,Insecta,Odonata,Gomphidae,Gomphus,GOMPHU,2
hog,riffle,3,Gastropoda,Gastropoda,,,,GASTRO,4
hog,riffle,3,Stenelmis,Insecta,Coleoptera,Elmidae,Stenelmis,STENEL,6
hog,riffle,3,Chironomidae,Insecta,Diptera,Chironomidae,,CHIRON,19
hog,riffle,3,Tabanus,Insecta,Diptera,Tabanidae,Tabanus,TABANU,2
hog,riffle,3,Baetis,Insecta,Ephemeroptera,Baetidae,Baetis,BAETIS,2
hog,riffle,3,Hydroporus,Insecta,Hemiptera,Dytiscidae,Hydroporus,HYDROP,21
hog,riffle,3,Corydalus,Insecta,Megaloptera,Corydalidae,Corydalus,CORYDA,1
hog,riffle,3,Argia,Insecta,Odonata,Coenagrionidae,Argia,ARGIA,1
hog,riffle,4,Berosus,Insecta,Coleoptera,Hydrophilidae,Berosus,BEROSU,4
hog,riffle,4,Chironomidae,Insecta,Diptera,Chironomidae,,CHIRON,16
hog,riffle,4,Hydroporus,Insecta,Hemiptera,Dytiscidae,Hydroporus,HYDROP,8
hog,riffle,4,Argia,Insecta,Odonata,Coenagrionidae,Argia,ARGIA,2
hog,riffle,4,Gomphus,Insecta,Odonata,Gomphidae,Gomphus,GOMPHU,1
hog,riffle,4,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,OLIGOC,12
bosque,riffle,1,Gastropoda,Gastropoda,,,,GASTRO,1
bosque,riffle,1,Helichus,Insecta,Coleoptera,Dryopidae,Helichus,HELICH,1
bosque,riffle,1,Cymbiodyta,Insecta,Coleoptera,Hydrophilidae,Cymbiodyta,CYMBIO,4
bosque,riffle,1,Tabanus,Insecta,Diptera,Tabanidae,Tabanus,TABANU,6
bosque,riffle,1,Tropisternus,Insecta,Ephemeroptera,Leptohyphidae,Tricorythodes,TROPIS,6
bosque,riffle,1,Baetis,Insecta,Ephemeroptera,Baetidae,Baetis,BAETIS,8
bosque,riffle,1,Gerris,Insecta,Hemiptera,Gerridae,Gerris,GERRIS,5
bosque,riffle,1,Ambrysus,Insecta,Hemiptera,Nacouridae,Ambrysus,AMBRYS,4
bosque,riffle,1,Corydalus,Insecta,Megaloptera,Corydalidae,Corydalus,CORYDA,11
