year,month,latitude,scenario,temperature
2001,1,18,COMMITTED,287.22
2002,1,18,COMMITTED,287.16
2003,1,18,COMMITTED,286.28
2004,1,18,COMMITTED,288.14
2005,1,18,COMMITTED,287.1
2006,1,18,COMMITTED,289.38
2007,1,18,COMMITTED,289.53
2008,1,18,COMMITTED,288.32
2009,1,18,COMMITTED,290.49
2010,1,18,COMMITTED,289.95
2011,1,18,COMMITTED,290.19
2012,1,18,COMMITTED,289.78
2013,1,18,COMMITTED,287.06
2014,1,18,COMMITTED,287.77
2015,1,18,COMMITTED,289.4
2016,1,18,COMMITTED,290.55
2017,1,18,COMMITTED,289.92
2018,1,18,COMMITTED,288.76
2019,1,18,COMMITTED,288.3
2020,1,18,COMMITTED,289.1
2021,1,18,COMMITTED,289.23
2022,1,18,COMMITTED,289.84
2023,1,18,COMMITTED,289.25
2024,1,18,COMMITTED,289.25
2025,1,18,COMMITTED,288.93
2026,1,18,COMMITTED,287.46
2027,1,18,COMMITTED,287.57
2028,1,18,COMMITTED,287.6
2029,1,18,COMMITTED,287.91
2030,1,18,COMMITTED,289.19
2031,1,18,COMMITTED,288.69
2032,1,18,COMMITTED,288.41
2033,1,18,COMMITTED,288.66
2034,1,18,COMMITTED,286.76
2035,1,18,COMMITTED,287.9
2036,1,18,COMMITTED,288.51
2037,1,18,COMMITTED,287.98
2038,1,18,COMMITTED,289.11
2039,1,18,COMMITTED,287
2040,1,18,COMMITTED,287.56
2041,1,18,COMMITTED,287.84
2042,1,18,COMMITTED,289.23
2043,1,18,COMMITTED,288.67
2044,1,18,COMMITTED,287.05
2045,1,18,COMMITTED,288.56
2046,1,18,COMMITTED,287.09
2047,1,18,COMMITTED,287.61
2048,1,18,COMMITTED,288.26
2049,1,18,COMMITTED,288.3
2050,1,18,COMMITTED,287.57
2051,1,18,COMMITTED,288.91
2052,1,18,COMMITTED,289.53
2053,1,18,COMMITTED,288.39
2054,1,18,COMMITTED,289.5
2055,1,18,COMMITTED,288.15
2056,1,18,COMMITTED,287.82
2057,1,18,COMMITTED,287.45
2058,1,18,COMMITTED,289.34
2059,1,18,COMMITTED,290.83
2060,1,18,COMMITTED,287.2
2061,1,18,COMMITTED,289.05
2062,1,18,COMMITTED,288.49
